SourceIP,DestinationIP,SourcePort,DestinationPort,TimeStamp,Duration,FlowBytesSent,FlowSentRate,FlowBytesReceived,FlowReceivedRate,PacketLengthVariance,PacketLengthStandardDeviation,PacketLengthMean,PacketLengthMedian,PacketLengthMode,PacketLengthSkewFromMedian,PacketLengthSkewFromMode,PacketLengthCoefficientofVariation,PacketTimeVariance,PacketTimeStandardDeviation,PacketTimeMean,PacketTimeMedian,PacketTimeMode,PacketTimeSkewFromMedian,PacketTimeSkewFromMode,PacketTimeCoefficientofVariation,ResponseTimeTimeVariance,ResponseTimeTimeStandardDeviation,ResponseTimeTimeMean,ResponseTimeTimeMedian,ResponseTimeTimeMode,ResponseTimeTimeSkewFromMedian,ResponseTimeTimeSkewFromMode,ResponseTimeTimeCoefficientofVariation,DoH
192.168.170.51,94.140.14.14,55514,443,2025-05-01 14:22:19,120.47631,106361,882.8374640624368,146303,1214.3715225009796,18006.49038135847,134.18826469314843,149.15230224321132,91.0,54,1.3000906385410735,0.7090955566106946,0.8996727685392201,1321.479320938178,36.35215703281138,58.245346405549,58.136614,0.254209,0.0089732561496299,1.5952598728379803,0.6241212264358365,0.0016360819519371,0.04044850988525,0.0858425686274509,0.081129,2.9e-05,0.349597696490409,2.121550803006067,0.4711940769246187,False
94.140.14.14,192.168.170.51,443,55514,2025-05-01 14:24:19,120.145846,123839,1030.7389237577136,93902,781.5667634484842,14906.189163621542,122.09090532722551,148.0224337185588,90.0,54,1.4257188173774682,0.7701018635791242,0.824813524950968,1270.1888152585852,35.63970840591412,60.79117508497621,62.64356,106.001741,-0.1559259318785339,-1.2685447759589823,0.5862645088879361,0.0023064766370654,0.048025791373651,0.007338794117647,7e-05,2.4e-05,0.4540556590370953,0.1523097050236273,6.544098472277204,False
94.140.14.14,192.168.170.51,443,55514,2025-05-01 14:26:19,120.235502,122563,1019.3578266093155,92676,770.7873170438461,14626.018709979098,120.93807799853236,147.62620027434843,90.0,54,1.4294803066503443,0.7741664314814448,0.8192182537637703,1175.077655977616,34.27940571214174,57.603398799725646,56.4035365,11.012066,0.1050072725707138,1.359163959578886,0.5950934567476425,0.0053423733189198,0.0730915406796151,0.0136011233766233,7.25e-05,8.2e-05,0.5552745194929143,0.1849615324963834,5.373934097623114,False
94.140.14.14,192.168.170.51,443,55514,2025-05-01 14:28:20,120.104639,126373,1052.190831696351,96852,806.3968286853599,14460.148483579223,120.25035751954846,146.7619986850756,90.0,54,1.4160955490510234,0.7714072589763052,0.8193562270679055,1191.7057959567935,34.52109204467312,60.482351953320176,60.367038,17.462491,0.01002117370774,1.246190615802332,0.5707630561608488,0.0040453304477139,0.0636029122581185,0.009543019047619,6.9e-05,2.3e-05,0.4468672287758213,0.1496789802483277,6.664862758917708,False
94.140.14.14,192.168.170.51,443,55514,2025-05-01 14:30:20,120.007344,121131,1009.3632269705093,92221,768.4613035015591,14489.2702598369,120.37138472177224,146.83551273227803,90.0,54,1.416503919024815,0.7712423758093261,0.8197702482317254,1222.470346697124,34.963843419983505,61.17786033860977,62.480728,44.010269,-0.1117898549430274,0.4910098450102792,0.5715113805298871,0.0012915838884413,0.0359386127784771,0.0040281627118644,7.4e-05,7.8e-05,0.3300764058065536,0.1099141677007097,8.921837410545717,False
94.140.14.14,192.168.170.51,443,55514,2025-05-01 14:32:20,120.422269,121849,1011.8477339104116,91381,758.8380517892417,14718.61724990623,121.32030848092263,147.76853776853775,90.0,54,1.4284963125762673,0.7729005880600992,0.8210158286262318,1211.633176319864,34.80852160491543,58.2353326964657,55.328554,41.911014,0.2505230238840612,0.4689747781233112,0.597721692195775,0.0041561531259482,0.0644682334638401,0.0117687086092715,7.3e-05,2.3e-05,0.5442544946961313,0.1821937406716691,5.477936076440144,False
94.140.14.14,192.168.170.51,443,55514,2025-05-01 14:34:20,120.028315,135866,1131.9495737318316,100462,836.9858395496096,14755.07084930042,121.4704525771614,147.42857142857142,90.0,54,1.4183343408247662,0.7691464833328334,0.8239274884109786,1207.900635987654,34.754864925469846,60.57551658328135,59.995851,54.719738,0.0500360669958936,0.1684880259451097,0.5737444249061852,0.0029002673855341,0.0538541306264812,0.0098519096209912,6.8e-05,2.3e-05,0.5450227962373024,0.1825098559135994,5.466364664139367,False
94.140.14.14,192.168.170.51,443,55514,2025-05-01 14:36:20,120.135688,119009,990.6215378730756,90224,751.0174661837372,14608.79222539558,120.86683674770173,147.24349049964815,90.0,54,1.4208237438811755,0.7714563647784153,0.8208637022768117,1178.3290293349626,34.32679753974965,61.12090291555242,61.440966,16.392646,-0.0279720021138248,1.3030128098538212,0.5616212441622009,0.0034637005543858,0.058853211929221,0.0092091973244147,7.5e-05,7.2e-05,0.4656091158830795,0.1552540129059298,6.390699412335751,False
94.140.14.14,192.168.170.51,443,55514,2025-05-01 14:38:21,120.162462,123876,1030.9043101996363,92438,769.2751834595398,14461.368662497049,120.25543090645448,146.9524456521739,90.0,54,1.420786867326017,0.7729584015584353,0.8183288843731843,1221.2870685420976,34.94691786899236,59.421669182744566,57.849002,61.173266,0.1350047968727987,-0.0501216394481982,0.588117404805932,0.0034684266239563,0.0588933495732445,0.009237339869281,7.8e-05,7.8e-05,0.4665725384437378,0.1555241794812459,6.375574614191207,False
94.140.14.14,192.168.170.51,443,55514,2025-05-01 14:40:21,120.005219,127436,1061.920481975038,95780,798.1319545777421,14491.622913071762,120.38115680234912,147.1430454845089,90.0,54,1.4240529083384037,0.7737344278676287,0.8181233194267598,1188.955000853549,34.4812267886969,59.325395145682265,58.402369,21.319465,0.0803068421554687,1.1022209383263817,0.5812220332291619,0.002329873538111,0.0482687635858949,0.0057216325878594,7e-05,6.2e-05,0.3512602458400826,0.1172524872692881,8.436187197394512,False
94.140.14.14,192.168.170.51,443,55514,2025-05-01 14:42:21,120.000394,122862,1023.846638370204,92280,768.9974751249566,14706.18248201586,121.269049975729,147.45853324194653,90.0,54,1.4214311051363815,0.770670944158064,0.8223942508417168,1199.1454142270657,34.628679071357396,61.590250492803285,61.615254,22.819696,-0.0021661386920234,1.1196082418538391,0.562242867893575,0.0035724849176746,0.0597702678400782,0.0092839155844155,7.25e-05,2.1e-05,0.4623410225830866,0.1549753066056104,6.4380451649529675,False
